,Unnamed: 0,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment
0,0,0.013621019924230815,0.012516379812254286,0.01,0,URT
1,1,0.03624903335401175,0.01537856797465764,0.01,0,LRT
2,2,0.007342906999554088,0.01495870929571197,0.01,1,URT
3,3,0.03968301256014595,0.01623913947931932,0.01,1,LRT
4,4,0.011677419513463684,0.01180811611186705,0.01,2,URT
5,5,0.00309711596625295,0.01172451308648892,0.01,2,LRT
6,6,0.027204497579785603,0.0161473171281159,0.01,3,URT
7,7,0.006752640425978561,0.012992052712971436,0.01,3,LRT
8,8,0.012167729399490844,0.014924529215194937,0.01,4,URT
9,9,0.02842151916348268,0.016382904487645792,0.01,4,LRT
10,10,0.013552020649216344,0.012527933009322643,0.01,5,URT
11,11,0.004067821625361567,0.01651379809243281,0.01,5,LRT
12,12,0.012188074941286152,0.012221745130688078,0.01,6,URT
13,13,0.015412271258567143,0.013917891077094069,0.01,6,LRT
14,14,0.01585248905293124,0.016157258315478096,0.01,7,URT
15,15,0.010662191587786474,0.009270486758517826,0.01,7,LRT
16,16,0.05388624557844324,0.060511928850993435,0.01,8,URT
17,17,-0.00979731160298858,0.015935609127311068,0.01,8,LRT
18,18,0.06899892067128642,0.06285191742355956,0.05,0,URT
19,19,0.05431079850300957,0.07553431482344841,0.05,0,LRT
20,20,0.04209017705440754,0.07378845343658469,0.05,1,URT
21,21,0.061126700273478114,0.07618079198876071,0.05,1,LRT
22,22,0.05846713477056033,0.059139138437447336,0.05,2,URT
23,23,0.02512746623365469,0.056551700597746724,0.05,2,LRT
24,24,0.14578449004878724,0.07922096016754487,0.05,3,URT
25,25,0.054977604516332164,0.06422720331667707,0.05,3,LRT
26,26,0.0702488168828248,0.07351088079962588,0.05,4,URT
27,27,0.0967708693438718,0.08102651468705703,0.05,4,LRT
28,28,0.06902297168213067,0.06296707931572065,0.05,5,URT
29,29,0.07377550120744214,0.08156852577827499,0.05,5,LRT
30,30,0.061192490560540776,0.06127837197888919,0.05,6,URT
31,31,0.07826101904602734,0.06939070917065493,0.05,6,LRT
32,32,0.09534487092251977,0.08029959507573192,0.05,7,URT
33,33,0.058684928499483924,0.049142052387495916,0.05,7,LRT
34,34,0.3440916707377637,0.35275651645108663,0.05,8,URT
35,35,0.05238671877096035,0.07996657866107881,0.05,8,LRT
36,36,0.14089525025862049,0.1267790076138553,0.1,0,URT
37,37,0.09724879166183252,0.14802571578590218,0.1,0,LRT
38,38,0.10402931339320798,0.14600681459167664,0.1,1,URT
39,39,0.10210496476909993,0.14720905456197464,0.1,1,LRT
40,40,0.1173942496791076,0.11849995106096768,0.1,2,URT
41,41,0.0859231520604471,0.11898759264531213,0.1,2,LRT
42,42,0.16545747877967898,0.15560660057440145,0.1,3,URT
43,43,0.18723454499775016,0.1356939776612336,0.1,3,LRT
44,44,0.1638615769146643,0.14577467755980678,0.1,4,URT
45,45,0.22213943527027613,0.16167312422109958,0.1,4,LRT
46,46,0.14223243888484038,0.12671710670833214,0.1,5,URT
47,47,0.17828069246142064,0.16195456902680494,0.1,5,LRT
48,48,0.12327934044542932,0.1232770180538223,0.1,6,URT
49,49,0.16173883822968982,0.13899561533203642,0.1,6,LRT
50,50,0.23644572153389465,0.1604748913497227,0.1,7,URT
51,51,0.1369094694955475,0.10884650816527408,0.1,7,LRT
52,52,0.8371737996610156,0.8192381348052216,0.1,8,URT
53,53,0.13408219367946028,0.16477027673186928,0.1,8,LRT
54,54,0.2983726818581633,0.2605145737902488,0.2,0,URT
55,55,0.28240939039455704,0.2978149745752621,0.2,0,LRT
56,56,0.3408504308536351,0.2942401923812499,0.2,1,URT
57,57,0.27618004096825555,0.29431551547438506,0.2,1,LRT
58,58,0.23846426525209274,0.23947963277912,0.2,2,URT
59,59,0.3802673805013628,0.2824629856854317,0.2,2,LRT
60,60,0.3639383276260313,0.3121476831211316,0.2,3,URT
61,61,0.28746176942331925,0.2777936782939605,0.2,3,LRT
62,62,0.3499881765105925,0.2926714977153573,0.2,4,URT
63,63,0.445890269386152,0.3230288075341541,0.2,4,LRT
64,64,0.31068793827556274,0.2603428115501316,0.2,5,URT
65,65,0.4151583018845084,0.3312191958343238,0.2,5,LRT
66,66,0.2517977153382942,0.2509744992507761,0.2,6,URT
67,67,0.3513207052044329,0.2835880462763498,0.2,6,LRT
68,68,0.4179843819327012,0.3247848581435413,0.2,7,URT
69,69,0.4102007743416367,0.2830375366495845,0.2,7,LRT
70,70,2.052651366499222,1.8954775719988644,0.2,8,URT
71,71,0.4594823376262731,0.4973950152967354,0.2,8,LRT
72,72,0.4853024481617263,0.4065102963240088,0.3,0,URT
73,73,0.4815031593458254,0.4548388276756814,0.3,0,LRT
74,74,0.4758393750191781,0.4509061307898099,0.3,1,URT
75,75,0.5066129913059649,0.43545613032776576,0.3,1,LRT
76,76,0.367268212823932,0.36607722848292656,0.3,2,URT
77,77,0.4550930207508284,0.4102466771983844,0.3,2,LRT
78,78,0.5731448166619062,0.4811285541076718,0.3,3,URT
79,79,0.4778828883545057,0.4294319619773877,0.3,3,LRT
80,80,0.5340966871376809,0.4470873527959123,0.3,4,URT
81,81,0.7084099101512518,0.4124661042912193,0.3,4,LRT
82,82,0.5289990283969379,0.4071932799732414,0.3,5,URT
83,83,0.7913411984090972,0.4672206796378378,0.3,5,LRT
84,84,0.3890993857294989,0.385995783418486,0.3,6,URT
85,85,0.5709234935497429,0.4380010965110648,0.3,6,LRT
86,86,0.6955530520232154,0.5065393166802421,0.3,7,URT
