,Unnamed: 0,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment
0,0,0.011581683919795084,0.011724529120245464,0.01,0,URT
1,1,0.023164623475945945,0.015561814197198487,0.01,0,LRT
2,2,0.002257629642977932,0.0147483398633117,0.01,1,URT
3,3,0.02903968547830704,0.015357913699074466,0.01,1,LRT
4,4,0.01633894559007043,0.013249200898493465,0.01,2,URT
5,5,0.03151379869123705,0.019244097072474986,0.01,2,LRT
6,6,0.036658091146660084,0.01620911653391577,0.01,3,URT
7,7,0.036810708742303085,0.015444946095943381,0.01,3,LRT
8,8,0.01214450012666468,0.01478261185460017,0.01,4,URT
9,9,0.032643787607381285,0.016449154029593238,0.01,4,LRT
10,10,0.01417622721000189,0.012267437166666895,0.01,5,URT
11,11,0.004316230096167217,0.01698326070381917,0.01,5,LRT
12,12,0.014567307195307857,0.01234929009155028,0.01,6,URT
13,13,0.014785356095856628,0.013822004753156314,0.01,6,LRT
14,14,0.0392525444941958,0.016472090212485746,0.01,7,URT
15,15,0.002316126300955901,0.009631536454503651,0.01,7,LRT
16,16,0.11439395971551747,0.11229098216283884,0.01,8,URT
17,17,0.0013043876583918035,0.02711829165954427,0.01,8,LRT
18,18,0.05833720693161304,0.0583026496865795,0.05,0,URT
19,19,0.15119547299922242,0.07675415947028341,0.05,0,LRT
20,20,0.02409974117023239,0.07338292396756696,0.05,1,URT
21,21,0.16109002862479915,0.07465935901644105,0.05,1,LRT
22,22,0.08426840235586397,0.06717038302548063,0.05,2,URT
23,23,0.17235768883637093,0.09142407888996916,0.05,2,LRT
24,24,0.07300641253987195,0.07861735054069019,0.05,3,URT
25,25,0.10855949118827724,0.07786025275435726,0.05,3,LRT
26,26,0.08160715255047357,0.07323523318277836,0.05,4,URT
27,27,0.08846821349466172,0.08032218084817977,0.05,4,LRT
28,28,0.07423070132327593,0.061767067578387014,0.05,5,URT
29,29,0.0821339303217048,0.08166440645695873,0.05,5,LRT
30,30,0.0707774877536842,0.06214586113217724,0.05,6,URT
31,31,0.07511356875995645,0.06938177905587217,0.05,6,LRT
32,32,0.049409154809133334,0.08042384358669885,0.05,7,URT
33,33,0.01318390508147438,0.04207917284106788,0.05,7,LRT
34,34,0.5832291558433256,0.5682639036280852,0.05,8,URT
