,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment,psi,rho
0,0.3690068044861974,0.3367385895034962,0.5,0,URT,0.001,0.1
1,0.5277454643181851,0.3605421394708017,0.5,0,LRT,0.001,0.1
2,0.6701198229459884,0.4085537801973267,0.5,1,URT,0.001,0.1
3,1.5854682614552003,1.3193257850599727,0.5,1,LRT,0.001,0.1
4,0.3026608307961256,0.3797320799518449,0.5,2,URT,0.001,0.1
5,0.5156504230720218,0.3368989718683002,0.5,2,LRT,0.001,0.1
6,1.863121987036882,1.9060381044082035,0.5,3,URT,0.001,0.1
7,1.5235880410941398,1.404728133743144,0.5,3,LRT,0.001,0.1
8,0.6454448221312248,0.3910879792896935,0.5,4,URT,0.001,0.1
9,1.4409990067112854,1.6385223570978287,0.5,4,LRT,0.001,0.1
10,0.40439244275676955,0.3495083298626076,0.5,5,URT,0.001,0.1
11,3.2710508129438765,2.9703420769853857,0.5,5,LRT,0.001,0.1
12,0.29191478113967584,0.368421764870436,0.5,6,URT,0.001,0.1
13,0.5761141142034569,0.37116215188929935,0.5,6,LRT,0.001,0.1
14,3.2437521489496604,3.2669424591194303,0.5,7,URT,0.001,0.1
15,0.3481644301489011,0.3043699860561855,0.5,7,LRT,0.001,0.1
16,1.3508018133585398,2.9513704222543664,0.5,8,URT,0.001,0.1
17,5.641759293379133,7.6364187345450825,0.5,8,LRT,0.001,0.1
18,0.46403448987910423,0.42760881113228955,0.5,0,URT,0.001,0.31622776601683794
19,0.6100538307989627,0.4507894375174377,0.5,0,LRT,0.001,0.31622776601683794
20,0.7599052531908601,0.48685254673281086,0.5,1,URT,0.001,0.31622776601683794
21,1.6072613838639693,1.3484029483809037,0.5,1,LRT,0.001,0.31622776601683794
22,0.3943377105468082,0.47281146076826897,0.5,2,URT,0.001,0.31622776601683794
23,0.6049474016706862,0.4315284642278785,0.5,2,LRT,0.001,0.31622776601683794
24,1.8687225977253008,1.91026111267134,0.5,3,URT,0.001,0.31622776601683794
25,1.5285611677468864,1.4244788995784923,0.5,3,LRT,0.001,0.31622776601683794
26,0.7305039427060942,0.4853809813990342,0.5,4,URT,0.001,0.31622776601683794
27,1.505888319986986,1.7030010771420923,0.5,4,LRT,0.001,0.31622776601683794
28,0.49953799065066296,0.4403045491031845,0.5,5,URT,0.001,0.31622776601683794
29,3.348383918907114,3.047582027321228,0.5,5,LRT,0.001,0.31622776601683794
30,0.3794150735950419,0.45581934582777883,0.5,6,URT,0.001,0.31622776601683794
31,0.669078801126318,0.46598111963218614,0.5,6,LRT,0.001,0.31622776601683794
32,3.2437521489496604,3.2667421846109046,0.5,7,URT,0.001,0.31622776601683794
33,0.46143312436444806,0.3988341403803046,0.5,7,LRT,0.001,0.31622776601683794
34,1.3508018133585398,3.007559349699922,0.5,8,URT,0.001,0.31622776601683794
35,5.641759293379133,7.451839269670125,0.5,8,LRT,0.001,0.31622776601683794
36,0.7084961038916289,0.6492701407459185,0.5,0,URT,0.001,1.0
37,0.8143442107342267,0.6792710108017168,0.5,0,LRT,0.001,1.0
38,0.9248153108269586,0.6969799992477501,0.5,1,URT,0.001,1.0
39,1.6717498604630023,1.4275512090519609,0.5,1,LRT,0.001,1.0
40,0.6266907494863823,0.7030030646298737,0.5,2,URT,0.001,1.0
41,0.7798231752356966,0.6711608621823357,0.5,2,LRT,0.001,1.0
42,1.8838090591607717,1.9217109248617055,0.5,3,URT,0.001,1.0
43,1.5430079344755558,1.4793298531347494,0.5,3,LRT,0.001,1.0
44,0.9514458101952519,0.7248669135058892,0.5,4,URT,0.001,1.0
45,1.667193811300769,1.863572706629082,0.5,4,LRT,0.001,1.0
46,0.7549875256873131,0.6658953795847617,0.5,5,URT,0.001,1.0
47,3.5401096022185126,3.239217639649568,0.5,5,LRT,0.001,1.0
48,0.5963781061321312,0.6690881034595453,0.5,6,URT,0.001,1.0
49,0.8937897240314578,0.7175471710805708,0.5,6,LRT,0.001,1.0
50,3.2437521489496604,3.2678951630927027,0.5,7,URT,0.001,1.0
51,0.760007417569553,0.6247649344879145,0.5,7,LRT,0.001,1.0
52,1.3508018133585398,3.072114205588167,0.5,8,URT,0.001,1.0
53,5.641759293379133,7.451913471525843,0.5,8,LRT,0.001,1.0
54,1.1336833511861801,1.0026358047530497,0.5,0,URT,0.001,3.1622776601683795
55,1.1813056644103597,1.0586000280671852,0.5,0,LRT,0.001,3.1622776601683795
56,1.2939258225588084,1.0923025125936308,0.5,1,URT,0.001,3.1622776601683795
57,1.838050075741048,1.6030604736594274,0.5,1,LRT,0.001,3.1622776601683795
58,1.0320414916753213,1.0807558176356604,0.5,2,URT,0.001,3.1622776601683795
59,1.0917409806383596,1.0561696123370732,0.5,2,LRT,0.001,3.1622776601683795
60,1.93173720655449,1.956690050665741,0.5,3,URT,0.001,3.1622776601683795
61,1.5877287470989705,1.6107489770377885,0.5,3,LRT,0.001,3.1622776601683795
62,1.324857445448199,1.1127782696086603,0.5,4,URT,0.001,3.1622776601683795
63,1.9385736118353218,2.133237054546327,0.5,4,LRT,0.001,3.1622776601683795
64,1.0983248930847394,1.0321991691069652,0.5,5,URT,0.001,3.1622776601683795
65,3.860059293738472,3.5587534817666038,0.5,5,LRT,0.001,3.1622776601683795
66,0.9680737569338422,1.0228096128616748,0.5,6,URT,0.001,3.1622776601683795
67,1.2384299296317431,1.1638731867755023,0.5,6,LRT,0.001,3.1622776601683795
68,3.2437521489496604,3.27014003712326,0.5,7,URT,0.001,3.1622776601683795
69,1.0424321161245969,0.9616114931808966,0.5,7,LRT,0.001,3.1622776601683795
70,1.3508018133585398,3.007558616891795,0.5,8,URT,0.001,3.1622776601683795
71,5.641759293379133,7.4519758571573025,0.5,8,LRT,0.001,3.1622776601683795
72,1.4997472421556077,1.4328070485040652,0.5,0,URT,0.001,10.0
73,1.666268280075565,1.515628720544349,0.5,0,LRT,0.001,10.0
74,1.7397236051309708,1.575955821146267,0.5,1,URT,0.001,10.0
75,2.0439177163112223,1.889994572475862,0.5,1,LRT,0.001,10.0
76,1.5424271318386262,1.5072794987509708,0.5,2,URT,0.001,10.0
77,1.5130003221370112,1.512399540671245,0.5,2,LRT,0.001,10.0
78,2.074587172192188,2.05553721398638,0.5,3,URT,0.001,10.0
79,1.7224660231260494,1.83694684584568,0.5,3,LRT,0.001,10.0
80,1.7722783254764751,1.5739577899162143,0.5,4,URT,0.001,10.0
81,2.2742352707141364,2.4652485467027656,0.5,4,LRT,0.001,10.0
82,1.5204715878874904,1.48989724595174,0.5,5,URT,0.001,10.0
83,4.251716059933612,3.9502449557700485,0.5,5,LRT,0.001,10.0
84,1.4310381618577352,1.4494900952114502,0.5,6,URT,0.001,10.0
85,1.6899051258953737,1.6703608645467014,0.5,6,LRT,0.001,10.0
86,3.2437521489496604,3.2768330726220696,0.5,7,URT,0.001,10.0
87,1.3779725486076018,1.3862913583698262,0.5,7,LRT,0.001,10.0
88,1.3508018133585398,3.07211077793996,0.5,8,URT,0.001,10.0
89,5.641759293379133,7.636338632967654,0.5,8,LRT,0.001,10.0
90,1.9540250406855826,1.92817985097677,0.5,0,URT,0.001,31.622776601683793
91,2.1425788722194756,2.001858783499755,0.5,0,LRT,0.001,31.622776601683793
92,2.2152801225480925,2.0699513001829173,0.5,1,URT,0.001,31.622776601683793
93,2.359731428989922,2.2524302610117912,0.5,1,LRT,0.001,31.622776601683793
94,1.9881464008893115,1.941112952871829,0.5,2,URT,0.001,31.622776601683793
95,2.0043112827457295,1.9997231761886383,0.5,2,LRT,0.001,31.622776601683793
96,2.4536518306795125,2.2868011559341395,0.5,3,URT,0.001,31.622776601683793
97,2.0735317749292568,2.147420652358816,0.5,3,LRT,0.001,31.622776601683793
98,2.2477216063525796,2.0609237046615005,0.5,4,URT,0.001,31.622776601683793
99,2.638890233181896,2.823941438011045,0.5,4,LRT,0.001,31.622776601683793
100,2.0836011134031285,1.9718016068389153,0.5,5,URT,0.001,31.622776601683793
101,4.672062463005743,4.37036776765123,0.5,5,LRT,0.001,31.622776601683793
102,1.9300252141227654,1.9062111577327894,0.5,6,URT,0.001,31.622776601683793
103,2.192898146039906,2.1771746876547002,0.5,6,LRT,0.001,31.622776601683793
104,3.2437521489496604,3.297540062174245,0.5,7,URT,0.001,31.622776601683793
105,1.9108553082883875,1.9133119841623882,0.5,7,LRT,0.001,31.622776601683793
106,1.3508018133585398,3.0721125067944097,0.5,8,URT,0.001,31.622776601683793
107,5.641759293379133,7.451966280971319,0.5,8,LRT,0.001,31.622776601683793
108,2.4931236209738197,2.437266118903717,0.5,0,URT,0.001,100.0
109,2.6188337730261386,2.4984955673258815,0.5,0,LRT,0.001,100.0
110,2.702985492788419,2.567324803489714,0.5,1,URT,0.001,100.0
111,2.7863186893777367,2.651824548461252,0.5,1,LRT,0.001,100.0
112,2.386312401026198,2.4214026419205874,0.5,2,URT,0.001,100.0
113,2.5427511587004714,2.5015711843722066,0.5,2,LRT,0.001,100.0
114,2.945629410969696,2.67656799126762,0.5,3,URT,0.001,100.0
115,2.5982866008898178,2.5670959670998057,0.5,3,LRT,0.001,100.0
116,2.7345417219666106,2.556968997674335,0.5,4,URT,0.001,100.0
117,3.019049001425032,3.195355625301909,0.5,4,LRT,0.001,100.0
118,2.494566936001763,2.4611432352343883,0.5,5,URT,0.001,100.0
119,5.102264989002608,4.800257191897921,0.5,5,LRT,0.001,100.0
120,2.3796512718389815,2.3827495810822663,0.5,6,URT,0.001,100.0
121,2.7139726087185343,2.6829289473617095,0.5,6,LRT,0.001,100.0
122,3.2437521489496604,3.3576567735527765,0.5,7,URT,0.001,100.0
123,2.5466824147681137,2.4340356536052647,0.5,7,LRT,0.001,100.0
124,1.3508018133585398,3.072114397203859,0.5,8,URT,0.001,100.0
125,5.641759293379133,7.452057953928371,0.5,8,LRT,0.001,100.0
126,0.36820141037450504,0.3357332683683838,0.5,0,URT,0.0031622776601683794,0.1
127,0.5231345643798431,0.35773587335952683,0.5,0,LRT,0.0031622776601683794,0.1
128,0.6675506148054406,0.4042132373947327,0.5,1,URT,0.0031622776601683794,0.1
129,1.5593182318229362,1.2962980145211889,0.5,1,LRT,0.0031622776601683794,0.1
130,0.30171297602048064,0.37895700334042814,0.5,2,URT,0.0031622776601683794,0.1
131,0.5195094442416934,0.33542538243244646,0.5,2,LRT,0.0031622776601683794,0.1
