,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment,psi,rho
0,0.5523851742925663,0.3212459208727756,0.5,Singapore 2,,1e-08,1e-06
1,0.4234360033941291,0.306321281164478,0.5,Singapore 3,,1e-08,1e-06
2,0.5731467215540809,0.3238724022670505,0.5,Singapore 4,,1e-08,1e-06
3,0.4644926711394106,0.3033001778416029,0.5,Singapore 6,,1e-08,1e-06
4,0.3905304639397249,0.28805994791951406,0.5,Singapore 8,,1e-08,1e-06
5,0.37457281960186695,0.29024072998963835,0.5,Singapore 9,,1e-08,1e-06
6,0.8535468237466901,0.47261033919957995,0.5,Singapore 11,,1e-08,1e-06
7,0.5654886928007059,0.3285195981898763,0.5,Singapore 12,,1e-08,1e-06
8,0.7382181721867607,0.39784096242565337,0.5,Singapore 14,,1e-08,1e-06
9,0.5052518742925773,0.30481710154232733,0.5,Singapore 16,,1e-08,1e-06
10,0.6590064087951264,0.39204166222100323,0.5,Singapore 17,,1e-08,1e-06
11,0.442490805681798,0.29598255739304236,0.5,Singapore 18,,1e-08,1e-06
12,0.8183292239143825,0.4460539155581742,0.5,China C,,1e-08,1e-06
13,0.5670688707468718,0.3400098356708048,0.5,China D,,1e-08,1e-06
14,0.6213040041649611,0.342260112466259,0.5,China E,,1e-08,1e-06
15,0.8529216398768096,0.48426891362759594,0.5,China H,,1e-08,1e-06
16,0.43452155710268414,0.30714577788474884,0.5,China I,,1e-08,1e-06
17,0.5613274940834465,0.3422801828601143,0.5,China L,,1e-08,1e-06
18,0.4384490084588264,0.3504059543172673,0.5,China O,,1e-08,1e-06
19,0.639945452055275,0.3694589057688784,0.5,China P,,1e-08,1e-06
20,0.6637941714373099,0.3683594696207724,0.5,Germany 1,,1e-08,1e-06
21,1.0471060819532232,0.5798561004970031,0.5,Germany 2,,1e-08,1e-06
22,0.797353910325433,0.44711321942997184,0.5,Germany 3,,1e-08,1e-06
23,1.050563418243529,0.5854968232267712,0.5,Germany 4,,1e-08,1e-06
24,0.7595924862439727,0.4141454721339244,0.5,Germany 7,,1e-08,1e-06
25,0.7447742964534365,0.40370391736173517,0.5,Germany 8,,1e-08,1e-06
26,0.5088320598366449,0.31629214800787064,0.5,Germany 10,,1e-08,1e-06
27,1.0060258166892488,0.5707907955980218,0.5,Germany 14,,1e-08,1e-06
28,0.6884887906227517,0.39484707262669705,0.5,Korea 13,,1e-08,1e-06
29,0.6788116148086019,0.3933208037835394,0.5,Korea 15,,1e-08,1e-06
30,0.5519770742332888,0.32024886007843545,0.5,Singapore 2,,1e-08,1e-05
